Name,SKU,Day1,Day37,Day46,Day52,Day79,Day88,Day91,Day105,Day109,Day117
guang-zhou-DC,dm,1557.18,0.0,0.0,0.0,0.0,1486.66,0.0,0.0,0.0,0.0
guang-zhou-DC,im,734.29,0.0,0.0,0.0,0.0,833.74,0.0,0.0,0.0,0.0
nei-lu-CDC,dm,1981.26,1355.95,1352.33,1375.34,1274.89,1890.18,1382.19,1333.52,1532.06,1657.41
nan-jing-DC,dm,938.49,708.07,690.85,702.65,580.19,724.47,690.36,585.08,807.49,830.76
nan-jing-DC,im,717.46,413.01,430.03,434.71,346.87,528.9,434.79,368.99,483.89,558.82
gang-kou-CDC,im,628.9,347.58,353.49,346.15,323.45,517.63,355.4,340.07,416.57,442.03
tian-jin-DC,dm,990.84,872.75,891.61,914.73,857.0,941.29,916.01,874.69,1003.42,1058.08
tian-jin-DC,im,2009.16,1353.31,1391.87,1348.03,1150.97,2058.71,1344.12,1241.42,1525.67,1646.09
zheng-zhou-DC,dm,865.81,747.46,789.8,790.61,794.09,926.34,786.93,758.87,877.57,961.55
zheng-zhou-DC,im,584.19,394.16,384.12,381.63,354.39,523.66,371.06,366.78,492.07,488.45
ning-bo-DC,dm,1161.71,933.17,930.77,924.73,984.4,0.0,965.28,1023.95,1056.32,1075.08
ning-bo-DC,im,1338.29,1183.7,1245.59,1301.37,1263.95,0.0,1263.24,1238.86,1394.79,1417.82
chong-qing-DC,dm,518.48,0.0,425.99,0.0,397.14,531.46,421.3,397.57,505.33,515.08
chong-qing-DC,im,372.25,0.0,320.34,0.0,300.1,398.76,297.75,332.77,376.61,400.6
cheng-du-DC,dm,0.0,312.75,0.0,334.58,0.0,0.0,0.0,0.0,0.0,0.0
cheng-du-DC,im,0.0,237.18,0.0,252.67,0.0,0.0,0.0,0.0,0.0,0.0
shen-zhen-DC,dm,0.0,1204.56,1137.71,1210.68,0.0,0.0,1119.65,1056.97,1262.74,1245.35
shen-zhen-DC,im,0.0,450.36,418.85,460.55,0.0,0.0,401.26,410.23,474.14,554.65
dong-guan-DC,dm,0.0,0.0,0.0,0.0,966.0,0.0,0.0,0.0,0.0,0.0
dong-guan-DC,im,0.0,0.0,0.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0
shang-hai-DC,dm,0.0,0.0,0.0,0.0,0.0,839.0,0.0,0.0,0.0,0.0
shang-hai-DC,im,0.0,0.0,0.0,0.0,0.0,965.4,0.0,0.0,0.0,0.0
chang-sha-DC,dm,0.0,0.0,0.0,0.0,0.0,517.49,0.0,0.0,0.0,0.0
chang-sha-DC,im,0.0,0.0,0.0,0.0,0.0,291.37,0.0,0.0,0.0,0.0
hang-zhou-DC,dm,0.0,0.0,0.0,0.0,0.0,691.74,0.0,0.0,0.0,0.0
hang-zhou-DC,im,0.0,0.0,0.0,0.0,0.0,808.26,0.0,0.0,0.0,0.0
ha-er-bin-DC,dm,0.0,0.0,0.0,0.0,0.0,322.32,0.0,0.0,0.0,0.0
ha-er-bin-DC,im,0.0,0.0,0.0,0.0,0.0,213.2,0.0,0.0,0.0,0.0
